ADDRESS,POSTAL,POWER OUT TIME,POWER RESTORE TIME,POWER DURATION
3748 NW 68TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
"4015 NW 59TH AV, SMP 8/13",32653,9/11/17 1:06,9/11/17 13:22,12:15
6433 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3001 NW 63RD PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
5818 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
2927 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3636 NW 64TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
3718 NW 54TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
3708 NW 56TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6426 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
2938 NW 67TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3513 NW 63RD PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6007 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3707 NW 66TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6720 NW 34TH WAY,32653,9/11/17 1:06,9/11/17 13:22,12:15
6407 NW 28TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
2905 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3664 NW 55TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6125 NW 35TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5730 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3745 NW 54TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
5920 NW 38TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5932 NW 26TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3602 NW 64TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6121 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6135 NW 38TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6035 NW 38TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
2721 NW 63RD PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3612 NW 64TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
3705 NW 56TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3012 NW 62ND AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
